t,x,y,z
20.26,-1.856293166,-0.2582450855,0
20.27,-1.855265383,-0.2590951684,0
20.28,-1.854235804,-0.2599429313,0
20.29,-1.853204438,-0.2607883847,0
20.3,-1.852171292,-0.2616315391,0
20.31,-1.851136376,-0.262472405,0
20.32,-1.850099695,-0.2633109929,0
20.33,-1.849061258,-0.2641473132,0
20.34,-1.848021072,-0.2649813765,0
20.35,-1.846979144,-0.2658131931,0
20.36,-1.845935481,-0.2666427735,0
20.37,-1.84489009,-0.2674701282,0
20.38,-1.843842976,-0.2682952673,0
20.39,-1.842794148,-0.2691182014,0
20.4,-1.841743609,-0.2699389407,0
20.41,-1.840691368,-0.2707574955,0
20.42,-1.839637429,-0.271573876,0
20.43,-1.838581798,-0.2723880925,0
20.44,-1.83752448,-0.2732001551,0
20.45,-1.836465482,-0.2740100739,0
20.46,-1.835404808,-0.274817859,0
20.47,-1.834342464,-0.2756235205,0
20.48,-1.833278454,-0.2764270683,0
20.49,-1.832212783,-0.2772285125,0
20.5,-1.831145455,-0.2780278628,0
20.51,-1.830076476,-0.2788251291,0
20.52,-1.82900585,-0.2796203212,0
20.53,-1.827933581,-0.2804134488,0
20.54,-1.826859673,-0.2812045216,0
20.55,-1.82578413,-0.2819935492,0
20.56,-1.824706956,-0.2827805412,0
20.57,-1.823628156,-0.2835655069,0
20.58,-1.822547732,-0.2843484558,0
20.59,-1.821465689,-0.2851293973,0
20.6,-1.82038203,-0.2859083407,0
20.61,-1.819296758,-0.2866852951,0
20.62,-1.818209877,-0.2874602696,0
20.63,-1.81712139,-0.2882332734,0
20.64,-1.816031301,-0.2890043154,0
20.65,-1.814939612,-0.2897734045,0
20.66,-1.813846327,-0.2905405495,0
20.67,-1.812751449,-0.2913057592,0
20.68,-1.81165498,-0.2920690422,0
20.69,-1.810556924,-0.2928304071,0
20.7,-1.809457283,-0.2935898625,0
20.71,-1.80835606,-0.2943474166,0
20.72,-1.807253258,-0.2951030779,0
20.73,-1.80614888,-0.2958568546,0
20.74,-1.805042929,-0.2966087547,0
20.75,-1.803935406,-0.2973587865,0
20.76,-1.802826315,-0.2981069577,0
20.77,-1.801715658,-0.2988532763,0
20.78,-1.800603438,-0.2995977501,0
20.79,-1.799489658,-0.3003403867,0
20.8,-1.798374319,-0.3010811937,0
20.81,-1.797257425,-0.3018201786,0
20.82,-1.796138978,-0.3025573488,0
20.83,-1.795018981,-0.3032927115,0
20.84,-1.793897436,-0.3040262739,0
20.85,-1.792774345,-0.3047580432,0
20.86,-1.791649712,-0.3054880262,0
20.87,-1.790523539,-0.3062162299,0
20.88,-1.789395828,-0.306942661,0
20.89,-1.788266583,-0.3076673262,0
20.9,-1.787135805,-0.308390232,0
20.91,-1.786003498,-0.309111385,0
20.92,-1.784869664,-0.3098307914,0
20.93,-1.783734306,-0.3105484575,0
20.94,-1.782597427,-0.3112643894,0
20.95,-1.78145903,-0.3119785931,0
20.96,-1.780319117,-0.3126910745,0
20.97,-1.779177692,-0.3134018395,0
20.98,-1.778034757,-0.3141108938,0
20.99,-1.776890316,-0.3148182428,0
21,-1.775744372,-0.3155238922,0
21.01,-1.774596928,-0.3162278471,0
21.02,-1.773447987,-0.316930113,0
21.03,-1.772297553,-0.3176306949,0
21.04,-1.771145629,-0.3183295978,0
21.05,-1.769992219,-0.3190268266,0
21.06,-1.768837326,-0.3197223862,0
21.07,-1.767680954,-0.3204162812,0
21.08,-1.766523106,-0.3211085162,0
21.09,-1.765363788,-0.3217990956,0
21.1,-1.764203002,-0.3224880238,0
21.11,-1.763040752,-0.3231753051,0
21.12,-1.761877044,-0.3238609435,0
21.13,-1.76071188,-0.324544943,0
21.14,-1.759545266,-0.3252273075,0
21.15,-1.758377206,-0.3259080409,0
21.16,-1.757207705,-0.3265871467,0
21.17,-1.756036768,-0.3272646285,0
21.18,-1.754864398,-0.3279404899,0
21.19,-1.753690602,-0.328614734,0
21.2,-1.752515384,-0.3292873641,0
21.21,-1.75133875,-0.3299583834,0
21.22,-1.750160704,-0.3306277948,0
21.23,-1.748981254,-0.3312956012,0
21.24,-1.747800403,-0.3319618054,0
21.25,-1.746618158,-0.3326264101,0
21.26,-1.745434525,-0.3332894177,0
21.27,-1.74424951,-0.3339508309,0
21.28,-1.743063119,-0.3346106519,0
21.29,-1.741875358,-0.3352688829,0
21.3,-1.740686234,-0.3359255261,0
21.31,-1.739495753,-0.3365805836,0
21.32,-1.738303923,-0.3372340572,0
21.33,-1.73711075,-0.3378859488,0
21.34,-1.735916242,-0.3385362601,0
21.35,-1.734720405,-0.3391849927,0
21.36,-1.733523247,-0.3398321482,0
21.37,-1.732324775,-0.3404777279,0
21.38,-1.731124998,-0.3411217332,0
21.39,-1.729923923,-0.3417641654,0
21.4,-1.728721558,-0.3424050254,0
21.41,-1.727517912,-0.3430443145,0
21.42,-1.726312992,-0.3436820335,0
21.43,-1.725106808,-0.3443181832,0
21.44,-1.723899367,-0.3449527646,0
21.45,-1.72269068,-0.3455857781,0
21.46,-1.721480755,-0.3462172244,0
21.47,-1.7202696,-0.3468471041,0
21.48,-1.719057227,-0.3474754174,0
21.49,-1.717843643,-0.3481021648,0
21.5,-1.716628859,-0.3487273465,0
21.51,-1.715412885,-0.3493509627,0
