t,x,y,z
1.37,-1.08327824500532,2.39952624934974,0
1.38,-1.0844809472003,2.4022746126227,0
1.39,-1.08569188906058,2.40501935542687,0
1.4,-1.08691105968769,2.40776045305957,0
1.41,-1.0881384481091,2.41049788085095,0
1.42,-1.08937404327832,2.41323161416417,0
1.43,-1.090617834075,2.41596162839565,0
1.44,-1.09186980930504,2.41868789897528,0
1.45,-1.09312995770066,2.42141040136665,0
1.46,-1.09439826792055,2.42412911106725,0
1.47,-1.09567472854991,2.42684400360871,0
1.48,-1.0969593281006,2.42955505455703,0
1.49,-1.09825205501126,2.43226223951275,0
1.5,-1.09955289764732,2.43496553411123,0
1.51,-1.10086184430123,2.43766491402284,0
1.52,-1.10217888319248,2.44036035495318,0
1.53,-1.10350400246771,2.4430518326433,0
1.54,-1.10483719020087,2.44573932286992,0
1.55,-1.10617843439328,2.44842280144563,0
1.56,-1.10752772297374,2.45110224421917,0
1.57,-1.10888504379868,2.45377762707554,0
1.58,-1.1102503846522,2.45644892593634,0
1.59,-1.11162373324626,2.45911611675989,0
1.6,-1.11300507722072,2.46177917554148,0
1.61,-1.11439440414349,2.46443807831361,0
1.62,-1.11579170151066,2.46709280114618,0
1.63,-1.11719695674654,2.46974332014668,0
1.64,-1.11861015720385,2.47238961146047,0
1.65,-1.1200312901638,2.47503165127095,0
1.66,-1.12146034283619,2.47766941579977,0
1.67,-1.12289730235957,2.48030288130708,0
1.68,-1.12434215580131,2.4829320240917,0
1.69,-1.12579489015774,2.48555682049136,0
1.7,-1.12725549235425,2.48817724688291,0
1.71,-1.12872394924544,2.49079327968253,0
1.72,-1.13020024761521,2.49340489534595,0
1.73,-1.13168437417687,2.49601207036865,0
1.74,-1.13317631557331,2.49861478128606,0
1.75,-1.13467605837706,2.5012130046738,0
1.76,-1.13618358909044,2.50380671714788,0
1.77,-1.13769889414569,2.50639589536491,0
1.78,-1.13922195990507,2.5089805160223,0
1.79,-1.140752772661,2.51156055585848,0
1.8,-1.14229131863618,2.51413599165311,0
1.81,-1.1438375839837,2.51670680022729,0
1.82,-1.14539155478718,2.51927295844375,0
1.83,-1.1469532170609,2.52183444320709,0
1.84,-1.14852255674992,2.52439123146397,0
1.85,-1.15009955973017,2.5269433002033,0
1.86,-1.15168421180865,2.52949062645649,0
1.87,-1.15327649872349,2.53203318729761,0
1.88,-1.15487640614414,2.53457095984364,0
1.89,-1.15648391967142,2.53710392125464,0
1.9,-1.15809902483773,2.53963204873397,0
1.91,-1.15972170710714,2.54215531952851,0
1.92,-1.16135195187551,2.54467371092883,0
1.93,-1.16298974447065,2.54718720026942,0
1.94,-1.16463507015244,2.54969576492891,0
1.95,-1.16628791411296,2.55219938233023,0
1.96,-1.16794826147663,2.55469802994083,0
1.97,-1.16961609730033,2.55719168527291,0
1.98,-1.17129140657354,2.55968032588358,0
1.99,-1.17297417421851,2.56216392937509,0
2,-1.17466438509032,2.56464247339504,0
2.01,-1.1763620239771,2.56711593563653,0
2.02,-1.1780670756001,2.56958429383843,0
2.03,-1.17977952461387,2.57204752578554,0
2.04,-1.18149935560639,2.57450560930877,0
2.05,-1.18322655309918,2.5769585222854,0
2.06,-1.18496110154748,2.57940624263922,0
2.07,-1.18670298534036,2.58184874834077,0
2.08,-1.18845218880088,2.58428601740751,0
2.09,-1.19020869618623,2.58671802790403,0
2.1,-1.19197249168785,2.58914475794227,0
2.11,-1.19374355943159,2.59156618568166,0
2.12,-1.19552188347784,2.59398228932938,0
2.13,-1.19730744782172,2.59639304714049,0
2.14,-1.19910023639315,2.59879843741822,0
2.15,-1.20090023305705,2.60119843851404,0
2.16,-1.20270742161345,2.60359302882798,0
2.17,-1.20452178579768,2.60598218680873,0
2.18,-1.20634330928047,2.60836589095389,0
2.19,-1.20817197566811,2.61074411981014,0
2.2,-1.21000776850263,2.61311685197343,0
2.21,-1.21185067126191,2.6154840660892,0
2.22,-1.21370066735982,2.61784574085252,0
2.23,-1.21555774014641,2.62020185500835,0
2.24,-1.21742187290805,2.62255238735167,0
2.25,-1.21929304886755,2.6248973167277,0
2.26,-1.22117125118434,2.6272366220321,0
2.27,-1.22305646295462,2.62957028221114,0
2.28,-1.22494866721148,2.63189827626188,0
2.29,-1.22684784692511,2.63422058323241,0
2.3,-1.22875398500289,2.63653718222197,0
2.31,-1.23066706428961,2.63884805238118,0
2.32,-1.23258706756755,2.64115317291224,0
2.33,-1.23451397755671,2.64345252306906,0
2.34,-1.23644777691489,2.64574608215753,0
2.35,-1.23838844823794,2.64803382953561,0
2.36,-1.24033597405981,2.6503157446136,0
2.37,-1.24229033685278,2.65259180685428,0
2.38,-1.24425151902761,2.6548619957731,0
2.39,-1.24621950293366,2.65712629093838,0
2.4,-1.2481942708591,2.65938467197147,0
2.41,-1.25017580503103,2.66163711854697,0
2.42,-1.25216408761566,2.66388361039287,0
2.43,-1.25415910071844,2.66612412729076,0
2.44,-1.25616082638429,2.668358649076,0
2.45,-1.25816924659767,2.6705871556379,0
2.46,-1.26018434328283,2.67280962691994,0
2.47,-1.26220609830391,2.67502604291987,0
2.48,-1.26423449346512,2.67723638368997,0
2.49,-1.26626951051092,2.67944062933719,0
2.5,-1.26831113112618,2.68163876002333,0
2.51,-1.27035933693632,2.68383075596524,0
2.52,-1.2724141095075,2.68601659743495,0
2.53,-1.27447543034678,2.68819626475992,0
2.54,-1.27654328090229,2.69036973832315,0
2.55,-1.27861764256339,2.6925369985634,0
2.56,-1.28069849666084,2.69469802597534,0
2.57,-1.28278582446697,2.69685280110973,0
2.58,-1.28487960719583,2.69900130457361,0
2.59,-1.2869798260034,2.70114351703047,0
2.6,-1.28908646198772,2.70327941920041,0
2.61,-1.29119949618909,2.70540899186032,0
2.62,-1.29331890959021,2.70753221584407,0
2.63,-1.29544468311637,2.70964907204266,0
2.64,-1.29757679763562,2.71175954140438,0
2.65,-1.29971523395896,2.71386360493504,0
2.66,-1.30185997284046,2.71596124369807,0
2.67,-1.3040109949775,2.71805243881474,0
2.68,-1.30616828101088,2.7201371714643,0
2.69,-1.30833181152505,2.72221542288419,0
2.7,-1.31050156704825,2.72428717437014,0
2.71,-1.31267752805269,2.72635240727642,0
2.72,-1.31485967495474,2.72841110301593,0
2.73,-1.31704798811509,2.73046324306043,0
2.74,-1.31924244783894,2.73250880894067,0
2.75,-1.32144303437616,2.73454778224658,0
2.76,-1.32364972792149,2.7365801446274,0
2.77,-1.32586250861471,2.7386058777919,0
2.78,-1.32808135654079,2.74062496350848,0
2.79,-1.33030625173014,2.74263738360539,0
2.8,-1.33253717415869,2.74464311997086,0
2.81,-1.33477410374818,2.74664215455328,0
2.82,-1.33701702036624,2.74863446936134,0
2.83,-1.33926590382664,2.75062004646423,0
2.84,-1.34152073388944,2.75259886799178,0
2.85,-1.3437814902612,2.75457091613459,0
2.86,-1.34604815259512,2.75653617314424,0
2.87,-1.34832070049124,2.75849462133345,0
2.88,-1.35059911349667,2.76044624307619,0
2.89,-1.35288337110569,2.76239102080787,0
2.9,-1.35517345276,2.76432893702551,0
2.91,-1.35746933784888,2.76625997428787,0
2.92,-1.35977100570939,2.76818411521564,0
2.93,-1.36207843562652,2.77010134249156,0
2.94,-1.36439160683343,2.77201163886059,0
2.95,-1.36671049851158,2.77391498713008,0
2.96,-1.36903508979098,2.77581137016992,0
2.97,-1.37136535975031,2.77770077091265,0
2.98,-1.37370128741715,2.7795831723537,0
2.99,-1.37604285176818,2.78145855755147,0
3,-1.37839003172934,2.78332690962748,0
3.01,-1.38074280617601,2.7851882117666,0
3.02,-1.38310115393324,2.78704244721711,0
3.03,-1.38546505377593,2.78888959929092,0
3.04,-1.38783448442899,2.79072965136365,0
3.05,-1.39020942456755,2.79256258687485,0
3.06,-1.39258985281718,2.79438838932813,0
3.07,-1.39497574775403,2.79620704229126,0
3.08,-1.39736708790506,2.79801852939639,0
3.09,-1.39976385174824,2.79982283434014,0
3.1,-1.4021660177127,2.80161994088378,0
3.11,-1.40457356417897,2.80340983285336,0
3.12,-1.40698646947914,2.80519249413987,0
3.13,-1.40940471189708,2.80696790869936,0
